,method,n_clusters,flows,iterations,total_cell_len,cell_candidates,run,approx_error
124,CellCandidateHeuristic.MAX,,1,124,504,1,0,11546.287430455846
125,CellCandidateHeuristic.MAX,,1,125,507,1,0,11046.8823351744
126,CellCandidateHeuristic.MAX,,1,126,511,1,0,10511.195379839424
127,CellCandidateHeuristic.MAX,,1,127,516,1,0,9822.290379839309
128,CellCandidateHeuristic.MAX,,1,128,521,1,0,9181.312655704412
129,CellCandidateHeuristic.MAX,,1,129,524,1,0,8774.836687141347
130,CellCandidateHeuristic.MAX,,1,130,527,1,0,8279.154560984887
131,CellCandidateHeuristic.MAX,,1,131,534,1,0,7550.358420935183
132,CellCandidateHeuristic.MAX,,1,132,537,1,0,7258.720126231128
133,CellCandidateHeuristic.MAX,,1,133,540,1,0,6786.724266068019
134,CellCandidateHeuristic.MAX,,1,134,545,1,0,6416.201848139968
135,CellCandidateHeuristic.MAX,,1,135,551,1,0,5980.068107539088
136,CellCandidateHeuristic.MAX,,1,136,555,1,0,5690.707968921568
137,CellCandidateHeuristic.MAX,,1,137,560,1,0,5317.023131424456
138,CellCandidateHeuristic.MAX,,1,138,563,1,0,5085.490787691291
139,CellCandidateHeuristic.MAX,,1,139,568,1,0,4700.147181389991
140,CellCandidateHeuristic.MAX,,1,140,575,1,0,4227.27813291034
141,CellCandidateHeuristic.MAX,,1,141,578,1,0,4097.736251620335
142,CellCandidateHeuristic.MAX,,1,142,584,1,0,3806.1582832954236
143,CellCandidateHeuristic.MAX,,1,143,588,1,0,3609.1426646138943
144,CellCandidateHeuristic.MAX,,1,144,594,1,0,3335.4386087595376
145,CellCandidateHeuristic.MAX,,1,145,599,1,0,3125.4009621959426
146,CellCandidateHeuristic.MAX,,1,146,603,1,0,2936.5596702398498
147,CellCandidateHeuristic.MAX,,1,147,607,1,0,2767.3320501828684
148,CellCandidateHeuristic.MAX,,1,148,611,1,0,2616.707466531944
149,CellCandidateHeuristic.MAX,,1,149,614,1,0,2497.5131265468435
150,CellCandidateHeuristic.MAX,,1,150,617,1,0,2398.1320384999053
151,CellCandidateHeuristic.MAX,,1,151,623,1,0,2213.3542150836947
152,CellCandidateHeuristic.MAX,,1,152,626,1,0,2128.9028872399017
153,CellCandidateHeuristic.MAX,,1,153,633,1,0,1918.571966064335
154,CellCandidateHeuristic.MAX,,1,154,636,1,0,1819.5709093870414
155,CellCandidateHeuristic.MAX,,1,155,641,1,0,1697.0931681462253
156,CellCandidateHeuristic.MAX,,1,156,645,1,0,1604.6625078563388
157,CellCandidateHeuristic.MAX,,1,157,651,1,0,1467.3179091009752
158,CellCandidateHeuristic.MAX,,1,158,654,1,0,1401.2561731742874
159,CellCandidateHeuristic.MAX,,1,159,657,1,0,1338.3296575772742
160,CellCandidateHeuristic.MAX,,1,160,661,1,0,1273.552796355079
161,CellCandidateHeuristic.MAX,,1,161,664,1,0,1232.548025093827
162,CellCandidateHeuristic.MAX,,1,162,668,1,0,1165.4037211440718
163,CellCandidateHeuristic.MAX,,1,163,673,1,0,1091.532716616148
164,CellCandidateHeuristic.MAX,,1,164,677,1,0,1031.0634992180705
165,CellCandidateHeuristic.MAX,,1,165,681,1,0,979.1458592939072
166,CellCandidateHeuristic.MAX,,1,166,684,1,0,938.4268503130709
167,CellCandidateHeuristic.MAX,,1,167,690,1,0,871.173709982341
168,CellCandidateHeuristic.MAX,,1,168,694,1,0,814.9386117725479
169,CellCandidateHeuristic.MAX,,1,169,699,1,0,757.2624955658573
170,CellCandidateHeuristic.MAX,,1,170,703,1,0,716.8675957647414
171,CellCandidateHeuristic.MAX,,1,171,706,1,0,690.033497223629
172,CellCandidateHeuristic.MAX,,1,172,709,1,0,666.2358955730515
173,CellCandidateHeuristic.MAX,,1,173,714,1,0,623.9413638478716
174,CellCandidateHeuristic.MAX,,1,174,719,1,0,589.1980625950498
175,CellCandidateHeuristic.MAX,,1,175,722,1,0,557.7110150934409
176,CellCandidateHeuristic.MAX,,1,176,727,1,0,518.4356646536206
177,CellCandidateHeuristic.MAX,,1,177,731,1,0,486.25595799497216
178,CellCandidateHeuristic.MAX,,1,178,738,1,0,439.157748603557
179,CellCandidateHeuristic.MAX,,1,179,741,1,0,420.3452644030106
180,CellCandidateHeuristic.MAX,,1,180,746,1,0,394.1272575946532
181,CellCandidateHeuristic.MAX,,1,181,749,1,0,378.86516239614457
182,CellCandidateHeuristic.MAX,,1,182,754,1,0,350.0452936161286
183,CellCandidateHeuristic.MAX,,1,183,759,1,0,323.26034742234674
184,CellCandidateHeuristic.MAX,,1,184,763,1,0,307.29004926528114
185,CellCandidateHeuristic.MAX,,1,185,768,1,0,287.6037920872359
186,CellCandidateHeuristic.MAX,,1,186,774,1,0,260.37341387988903
187,CellCandidateHeuristic.MAX,,1,187,778,1,0,243.1295184325624
188,CellCandidateHeuristic.MAX,,1,188,781,1,0,232.66870842390267
189,CellCandidateHeuristic.MAX,,1,189,786,1,0,216.24914567417898
190,CellCandidateHeuristic.MAX,,1,190,790,1,0,202.59481000722275
191,CellCandidateHeuristic.MAX,,1,191,794,1,0,191.8781089576301
192,CellCandidateHeuristic.MAX,,1,192,799,1,0,178.48977011177266
193,CellCandidateHeuristic.MAX,,1,193,806,1,0,159.33829307957964
194,CellCandidateHeuristic.MAX,,1,194,809,1,0,151.64858860325057
195,CellCandidateHeuristic.MAX,,1,195,813,1,0,140.83273649462546
196,CellCandidateHeuristic.MAX,,1,196,818,1,0,128.90703645312396
197,CellCandidateHeuristic.MAX,,1,197,825,1,0,114.91035248725902
198,CellCandidateHeuristic.MAX,,1,198,830,1,0,104.90465858938819
199,CellCandidateHeuristic.MAX,,1,199,834,1,0,97.23944237582037
200,CellCandidateHeuristic.MAX,,1,200,837,1,0,91.42109942192099
201,CellCandidateHeuristic.MAX,,1,201,841,1,0,83.36196291625436
202,CellCandidateHeuristic.MAX,,1,202,844,1,0,78.84894323152153
203,CellCandidateHeuristic.MAX,,1,203,847,1,0,75.27428221918383
204,CellCandidateHeuristic.MAX,,1,204,850,1,0,71.55797282908784
205,CellCandidateHeuristic.MAX,,1,205,856,1,0,65.62345644206357
206,CellCandidateHeuristic.MAX,,1,206,860,1,0,61.20947708245961
207,CellCandidateHeuristic.MAX,,1,207,865,1,0,56.455333692553836
208,CellCandidateHeuristic.MAX,,1,208,869,1,0,50.6548954704432
209,CellCandidateHeuristic.MAX,,1,209,873,1,0,47.65966304315914
210,CellCandidateHeuristic.MAX,,1,210,878,1,0,42.59283713326141
211,CellCandidateHeuristic.MAX,,1,211,881,1,0,40.19481557239379
212,CellCandidateHeuristic.MAX,,1,212,885,1,0,37.446840090281356
213,CellCandidateHeuristic.MAX,,1,213,890,1,0,34.57517647125887
214,CellCandidateHeuristic.MAX,,1,214,893,1,0,32.37043951570664
215,CellCandidateHeuristic.MAX,,1,215,897,1,0,30.368592636032663
216,CellCandidateHeuristic.MAX,,1,216,900,1,0,28.5529882666645
217,CellCandidateHeuristic.MAX,,1,217,904,1,0,26.402963994396117
218,CellCandidateHeuristic.MAX,,1,218,908,1,0,24.403278054027208
219,CellCandidateHeuristic.MAX,,1,219,912,1,0,22.60554527375703
220,CellCandidateHeuristic.MAX,,1,220,915,1,0,21.364578409737234
221,CellCandidateHeuristic.MAX,,1,221,919,1,0,19.841904399013604
222,CellCandidateHeuristic.MAX,,1,222,924,1,0,17.932012862226532
223,CellCandidateHeuristic.MAX,,1,223,929,1,0,16.420222995988738
224,CellCandidateHeuristic.MAX,,1,224,933,1,0,15.010964477695047
225,CellCandidateHeuristic.MAX,,1,225,936,1,0,14.245218041219417
226,CellCandidateHeuristic.MAX,,1,226,940,1,0,12.51437689080429
227,CellCandidateHeuristic.MAX,,1,227,944,1,0,11.762224408452848
228,CellCandidateHeuristic.MAX,,1,228,951,1,0,10.061618264489427
229,CellCandidateHeuristic.MAX,,1,229,955,1,0,9.404644676403109
230,CellCandidateHeuristic.MAX,,1,230,959,1,0,8.948575019381382
231,CellCandidateHeuristic.MAX,,1,231,966,1,0,7.690977822391421
232,CellCandidateHeuristic.MAX,,1,232,969,1,0,7.244116072604852
233,CellCandidateHeuristic.MAX,,1,233,973,1,0,6.830232819642758
234,CellCandidateHeuristic.MAX,,1,234,979,1,0,6.236049848560344
235,CellCandidateHeuristic.MAX,,1,235,988,1,0,5.122196596759067
236,CellCandidateHeuristic.MAX,,1,236,991,1,0,4.732401575765729
237,CellCandidateHeuristic.MAX,,1,237,997,1,0,4.155207241616204
238,CellCandidateHeuristic.MAX,,1,238,1000,1,0,3.9076343804654807
239,CellCandidateHeuristic.MAX,,1,239,1005,1,0,3.592704687243603
240,CellCandidateHeuristic.MAX,,1,240,1008,1,0,3.3828491652768333
241,CellCandidateHeuristic.MAX,,1,241,1012,1,0,3.1173716633018667
242,CellCandidateHeuristic.MAX,,1,242,1015,1,0,2.9277079355645284
243,CellCandidateHeuristic.MAX,,1,243,1020,1,0,2.6897505516235194
244,CellCandidateHeuristic.MAX,,1,244,1025,1,0,2.2990070304580947
245,CellCandidateHeuristic.MAX,,1,245,1031,1,0,1.9902349880026362
246,CellCandidateHeuristic.MAX,,1,246,1036,1,0,1.7447519741932151
247,CellCandidateHeuristic.MAX,,1,247,1039,1,0,1.597717519424088
248,CellCandidateHeuristic.MAX,,1,248,1043,1,0,1.4299558026481427
249,CellCandidateHeuristic.MAX,,1,249,1046,1,0,1.3576772072842824
250,CellCandidateHeuristic.MAX,,1,250,1049,1,0,1.2908294189829306
251,CellCandidateHeuristic.MAX,,1,251,1053,1,0,1.1805489518892842
252,CellCandidateHeuristic.MAX,,1,252,1057,1,0,1.0855662060656046
253,CellCandidateHeuristic.MAX,,1,253,1062,1,0,0.9642853419475395
254,CellCandidateHeuristic.MAX,,1,254,1067,1,0,0.8374527252470491
255,CellCandidateHeuristic.MAX,,1,255,1074,1,0,0.6975310518053497
256,CellCandidateHeuristic.MAX,,1,256,1077,1,0,0.6365425545755506
257,CellCandidateHeuristic.MAX,,1,257,1080,1,0,0.589227669000332
258,CellCandidateHeuristic.MAX,,1,258,1084,1,0,0.5447658218020565
259,CellCandidateHeuristic.MAX,,1,259,1087,1,0,0.5175917880352148
260,CellCandidateHeuristic.MAX,,1,260,1090,1,0,0.48799396739192813
261,CellCandidateHeuristic.MAX,,1,261,1095,1,0,0.4362702999372622
262,CellCandidateHeuristic.MAX,,1,262,1099,1,0,0.408240582580953
263,CellCandidateHeuristic.MAX,,1,263,1104,1,0,0.36052914822031257
264,CellCandidateHeuristic.MAX,,1,264,1111,1,0,0.3004864837873366
265,CellCandidateHeuristic.MAX,,1,265,1115,1,0,0.2661679064963072
266,CellCandidateHeuristic.MAX,,1,266,1118,1,0,0.24083055730295197
267,CellCandidateHeuristic.MAX,,1,267,1122,1,0,0.21752125269107495
268,CellCandidateHeuristic.MAX,,1,268,1127,1,0,0.1897289989003847
269,CellCandidateHeuristic.MAX,,1,269,1134,1,0,0.1628571119125155
270,CellCandidateHeuristic.MAX,,1,270,1137,1,0,0.15172407797828247
271,CellCandidateHeuristic.MAX,,1,271,1141,1,0,0.13957932822125924
272,CellCandidateHeuristic.MAX,,1,272,1147,1,0,0.11758228912240046
273,CellCandidateHeuristic.MAX,,1,273,1153,1,0,0.10211996914069074
274,CellCandidateHeuristic.MAX,,1,274,1157,1,0,0.09109178342028079
275,CellCandidateHeuristic.MAX,,1,275,1160,1,0,0.08111081765297226
276,CellCandidateHeuristic.MAX,,1,276,1164,1,0,0.0722804398365591
277,CellCandidateHeuristic.MAX,,1,277,1167,1,0,0.06748452712876701
278,CellCandidateHeuristic.MAX,,1,278,1172,1,0,0.05953106045571128
279,CellCandidateHeuristic.MAX,,1,279,1175,1,0,0.053655959204998896
280,CellCandidateHeuristic.MAX,,1,280,1178,1,0,0.04975403669059608
281,CellCandidateHeuristic.MAX,,1,281,1181,1,0,0.0449477532000383
282,CellCandidateHeuristic.MAX,,1,282,1185,1,0,0.03850151722330619
283,CellCandidateHeuristic.MAX,,1,283,1189,1,0,0.03458759993631272
284,CellCandidateHeuristic.MAX,,1,284,1193,1,0,0.030570992443078704
285,CellCandidateHeuristic.MAX,,1,285,1199,1,0,0.026541065624650622
286,CellCandidateHeuristic.MAX,,1,286,1202,1,0,0.024369622885534303
287,CellCandidateHeuristic.MAX,,1,287,1211,1,0,0.01907700652200851
288,CellCandidateHeuristic.MAX,,1,288,1215,1,0,0.017386396707104856
289,CellCandidateHeuristic.MAX,,1,289,1219,1,0,0.015203819972136476
290,CellCandidateHeuristic.MAX,,1,290,1224,1,0,0.013559607268590672
291,CellCandidateHeuristic.MAX,,1,291,1228,1,0,0.011635366615933035
292,CellCandidateHeuristic.MAX,,1,292,1231,1,0,0.009880476991270998
293,CellCandidateHeuristic.MAX,,1,293,1236,1,0,0.008329018574277335
294,CellCandidateHeuristic.MAX,,1,294,1241,1,0,0.0071707891420889555
295,CellCandidateHeuristic.MAX,,1,295,1248,1,0,0.00567989106205008
296,CellCandidateHeuristic.MAX,,1,296,1251,1,0,0.0051664007600779865
297,CellCandidateHeuristic.MAX,,1,297,1254,1,0,0.004680803485168314
298,CellCandidateHeuristic.MAX,,1,298,1259,1,0,0.004044134850213921
299,CellCandidateHeuristic.MAX,,1,299,1263,1,0,0.003411636184255044
300,CellCandidateHeuristic.MAX,,1,300,1267,1,0,0.0029198419270472474
301,CellCandidateHeuristic.MAX,,1,301,1270,1,0,0.0026606788563021343
302,CellCandidateHeuristic.MAX,,1,302,1275,1,0,0.002145093898502956
303,CellCandidateHeuristic.MAX,,1,303,1279,1,0,0.0017843312724121429
304,CellCandidateHeuristic.MAX,,1,304,1283,1,0,0.0015408040693890175
305,CellCandidateHeuristic.MAX,,1,305,1286,1,0,0.0014311453903267709
306,CellCandidateHeuristic.MAX,,1,306,1290,1,0,0.0011966728812038293
307,CellCandidateHeuristic.MAX,,1,307,1294,1,0,0.0010542998726727503
308,CellCandidateHeuristic.MAX,,1,308,1298,1,0,0.0008731800026470782
309,CellCandidateHeuristic.MAX,,1,309,1302,1,0,0.0008020589201358063
310,CellCandidateHeuristic.MAX,,1,310,1306,1,0,0.0007367734706949119
311,CellCandidateHeuristic.MAX,,1,311,1310,1,0,0.0006510568108791662
312,CellCandidateHeuristic.MAX,,1,312,1316,1,0,0.0005420631456780518
313,CellCandidateHeuristic.MAX,,1,313,1320,1,0,0.00048143221960168596
314,CellCandidateHeuristic.MAX,,1,314,1323,1,0,0.00043400477361019846
315,CellCandidateHeuristic.MAX,,1,315,1330,1,0,0.0003748602673513501
316,CellCandidateHeuristic.MAX,,1,316,1334,1,0,0.00035497585350792264
