,method,n_clusters,flows,iterations,total_cell_len,cell_candidates,run,approx_error
95,CellCandidateHeuristic.SIMILARITY,,1,95,439,5,0,29912.456954119833
96,CellCandidateHeuristic.SIMILARITY,,1,96,443,5,0,28715.612500459585
97,CellCandidateHeuristic.SIMILARITY,,1,97,448,5,0,27332.155841201864
98,CellCandidateHeuristic.SIMILARITY,,1,98,455,5,0,25423.917071831314
99,CellCandidateHeuristic.SIMILARITY,,1,99,460,5,0,24364.56097550057
100,CellCandidateHeuristic.SIMILARITY,,1,100,466,5,0,22676.271455962204
101,CellCandidateHeuristic.SIMILARITY,,1,101,470,5,0,21949.479211921294
102,CellCandidateHeuristic.SIMILARITY,,1,102,474,5,0,21214.180528891193
103,CellCandidateHeuristic.SIMILARITY,,1,103,480,5,0,20090.849732536644
104,CellCandidateHeuristic.SIMILARITY,,1,104,483,5,0,19315.85529893515
105,CellCandidateHeuristic.SIMILARITY,,1,105,487,5,0,18574.5708726877
106,CellCandidateHeuristic.SIMILARITY,,1,106,494,5,0,17189.272880127617
107,CellCandidateHeuristic.SIMILARITY,,1,107,499,5,0,16186.683733940878
108,CellCandidateHeuristic.SIMILARITY,,1,108,502,5,0,15431.430400607596
109,CellCandidateHeuristic.SIMILARITY,,1,109,506,5,0,14788.398725006342
110,CellCandidateHeuristic.SIMILARITY,,1,110,511,5,0,14133.028459646492
111,CellCandidateHeuristic.SIMILARITY,,1,111,515,5,0,13493.08630594415
112,CellCandidateHeuristic.SIMILARITY,,1,112,518,5,0,12949.500307725051
113,CellCandidateHeuristic.SIMILARITY,,1,113,522,5,0,12448.88168396226
114,CellCandidateHeuristic.SIMILARITY,,1,114,527,5,0,11691.684031896217
115,CellCandidateHeuristic.SIMILARITY,,1,115,535,5,0,10552.51263752043
116,CellCandidateHeuristic.SIMILARITY,,1,116,542,5,0,9782.17128281231
117,CellCandidateHeuristic.SIMILARITY,,1,117,545,5,0,9338.57424996236
118,CellCandidateHeuristic.SIMILARITY,,1,118,551,5,0,8731.520887242352
119,CellCandidateHeuristic.SIMILARITY,,1,119,555,5,0,8338.401471905627
120,CellCandidateHeuristic.SIMILARITY,,1,120,559,5,0,7908.007540728098
121,CellCandidateHeuristic.SIMILARITY,,1,121,568,5,0,7186.539433312457
122,CellCandidateHeuristic.SIMILARITY,,1,122,574,5,0,6714.036235488981
123,CellCandidateHeuristic.SIMILARITY,,1,123,579,5,0,6409.412764457713
124,CellCandidateHeuristic.SIMILARITY,,1,124,583,5,0,6138.763404267249
125,CellCandidateHeuristic.SIMILARITY,,1,125,587,5,0,5859.405651597346
126,CellCandidateHeuristic.SIMILARITY,,1,126,591,5,0,5580.1174063405615
127,CellCandidateHeuristic.SIMILARITY,,1,127,598,5,0,5152.235805186836
128,CellCandidateHeuristic.SIMILARITY,,1,128,606,5,0,4644.1182590722565
129,CellCandidateHeuristic.SIMILARITY,,1,129,610,5,0,4386.434827152851
130,CellCandidateHeuristic.SIMILARITY,,1,130,615,5,0,4082.245744854473
131,CellCandidateHeuristic.SIMILARITY,,1,131,623,5,0,3665.707412623008
132,CellCandidateHeuristic.SIMILARITY,,1,132,630,5,0,3425.886588308376
133,CellCandidateHeuristic.SIMILARITY,,1,133,635,5,0,3221.867805430117
134,CellCandidateHeuristic.SIMILARITY,,1,134,641,5,0,2935.86200179165
135,CellCandidateHeuristic.SIMILARITY,,1,135,647,5,0,2702.808394524882
136,CellCandidateHeuristic.SIMILARITY,,1,136,652,5,0,2501.8953745340177
137,CellCandidateHeuristic.SIMILARITY,,1,137,659,5,0,2276.8764228345344
138,CellCandidateHeuristic.SIMILARITY,,1,138,663,5,0,2149.972433791453
139,CellCandidateHeuristic.SIMILARITY,,1,139,668,5,0,2040.8418113595208
140,CellCandidateHeuristic.SIMILARITY,,1,140,676,5,0,1856.6714250282585
141,CellCandidateHeuristic.SIMILARITY,,1,141,682,5,0,1712.3237025236654
142,CellCandidateHeuristic.SIMILARITY,,1,142,689,5,0,1571.0964522207803
143,CellCandidateHeuristic.SIMILARITY,,1,143,693,5,0,1488.0716806595963
144,CellCandidateHeuristic.SIMILARITY,,1,144,699,5,0,1377.2392851405962
145,CellCandidateHeuristic.SIMILARITY,,1,145,704,5,0,1281.5619312373462
146,CellCandidateHeuristic.SIMILARITY,,1,146,711,5,0,1165.634665795898
147,CellCandidateHeuristic.SIMILARITY,,1,147,717,5,0,1070.967626056337
148,CellCandidateHeuristic.SIMILARITY,,1,148,722,5,0,999.0372246423331
149,CellCandidateHeuristic.SIMILARITY,,1,149,726,5,0,931.2140602446264
150,CellCandidateHeuristic.SIMILARITY,,1,150,731,5,0,868.6895266143016
151,CellCandidateHeuristic.SIMILARITY,,1,151,736,5,0,810.5330633106089
152,CellCandidateHeuristic.SIMILARITY,,1,152,741,5,0,766.3116798580642
