,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
9,9,12,435256,1336127.5174927674,0.0,636363.3424929806,380,,441,636363.3424929806,4,config,0.0,0.3
10,10,13,839809,2960036.3464455158,0.0,1100823.256674707,171,,185,1100823.256674707,4,config,0.0,0.3
11,11,14,1440135,5772070.875568755,0.0,1957653.441559528,69,,76,1957653.441559528,4,config,0.0,0.3
12,12,15,2149750,9697079.070955507,0.0,3942758.853476208,28,,28,3942758.853476208,4,config,0.0,0.3
13,13,16,2714664,13636517.443531182,0.0,1488801.543058179,4,,6,1488801.543058179,4,config,0.0,0.3
14,14,17,2776604,15401243.230341095,0.0,4723609.102941092,2,,1,4723609.102941092,4,config,0.0,0.3
15,15,18,2143378,13091056.745789934,0.0,0.0,0,0.0,0,13091056.745789934,4,config,0.0,0.3
16,16,19,1108974,7441232.255501647,0.0,0.0,0,0.0,0,7441232.255501647,4,config,0.0,0.3
17,17,20,291279,2120751.192817969,0.0,0.0,0,0.0,0,2120751.192817969,4,config,0.0,0.3
0,0,3,31,35.90027700831025,0.0,29.957356632225657,5557,,5612,29.957356632225657,5,config,0.0,0.3157894736842105
1,1,4,145,144.5458521650386,0.0,157.9630699989037,7807,,7807,157.9630699989037,5,config,0.0,0.3157894736842105
2,2,5,543,584.2695498039454,0.0,644.7725308625843,7427,,7380,644.7725308625843,5,config,0.0,0.3157894736842105
3,3,6,2078,2306.327170278732,0.0,2591.011248445031,6677,,6769,2591.011248445031,5,config,0.0,0.3157894736842105
4,4,7,7241,8739.766118950984,0.0,9285.11703056168,5090,,5065,9285.11703056168,5,config,0.0,0.3157894736842105
5,5,8,23799,31394.15987465288,0.0,31199.32996032358,3684,,3653,31199.32996032358,5,config,0.0,0.3157894736842105
6,6,9,70783,105748.7490514623,0.0,91997.58364241503,2306,,2318,91997.58364241503,5,config,0.0,0.3157894736842105
7,7,10,189287,330603.9838766769,0.0,246961.1508786606,1321,,1265,246961.1508786606,5,config,0.0,0.3157894736842105
8,8,11,451766,949102.3460574456,0.0,600472.1497746804,657,,665,600472.1497746804,5,config,0.0,0.3157894736842105
9,9,12,942415,2472661.375254924,0.0,1204389.5559493126,296,,303,1204389.5559493126,5,config,0.0,0.3157894736842105
10,10,13,1687302,5766206.283995288,0.0,2406921.712006088,120,,101,2406921.712006088,5,config,0.0,0.3157894736842105
11,11,14,2534002,11835897.109253485,0.0,3859153.367170848,48,,45,3859153.367170848,5,config,0.0,0.3157894736842105
12,12,15,3075295,20930849.62478511,0.0,2665598.9343528966,7,,16,2665598.9343528966,5,config,0.0,0.3157894736842105
13,13,16,2885586,30983165.56300427,0.0,3660749.9824784193,3,,1,3660749.9824784193,5,config,0.0,0.3157894736842105
14,14,17,1948028,36834475.46809176,0.0,0.0,0,0.0,0,36834475.46809176,5,config,0.0,0.3157894736842105
