,method,n_clusters,flows,iterations,total_cell_len,cell_candidates,run,approx_error
156,random,,1,156,1816,1,0,2332912.8349647084
157,random,,1,157,1836,1,0,2331760.696446534
158,random,,1,158,1856,1,0,2311140.1186327683
159,random,,1,159,1877,1,0,2311091.6773672597
160,random,,1,160,1892,1,0,2290874.3205230483
161,random,,1,161,1907,1,0,2290107.119527589
162,random,,1,162,1912,1,0,2289705.0399996545
163,random,,1,163,1917,1,0,2280807.826604381
164,random,,1,164,1928,1,0,2271745.3447491927
165,random,,1,165,1939,1,0,2263438.068310852
166,random,,1,166,1946,1,0,2257046.724045881
167,random,,1,167,1953,1,0,2245920.632645835
168,random,,1,168,1963,1,0,2236068.536796255
169,random,,1,169,1981,1,0,2232469.294543146
170,random,,1,170,1987,1,0,2211166.9005600493
171,random,,1,171,1991,1,0,2207901.7860328592
172,random,,1,172,2011,1,0,2204430.999334232
173,random,,1,173,2027,1,0,2192853.269020199
174,random,,1,174,2035,1,0,2191658.689023229
175,random,,1,175,2045,1,0,2190228.7778666094
176,random,,1,176,2048,1,0,2184655.5957594723
177,random,,1,177,2067,1,0,2175558.0783544905
178,random,,1,178,2086,1,0,2175557.971924482
179,random,,1,179,2101,1,0,2174773.0141118686
180,random,,1,180,2107,1,0,2174458.5950238705
181,random,,1,181,2115,1,0,2174443.3842683053
182,random,,1,182,2135,1,0,2172923.606067946
183,random,,1,183,2145,1,0,2166875.4515356114
184,random,,1,184,2151,1,0,2163481.254770472
185,random,,1,185,2170,1,0,2153316.6944869515
186,random,,1,186,2190,1,0,2121185.5774543667
187,random,,1,187,2207,1,0,2109759.7015129626
188,random,,1,188,2214,1,0,2109756.7770121843
189,random,,1,189,2226,1,0,2109634.7506805304
190,random,,1,190,2231,1,0,2109634.2052877904
191,random,,1,191,2239,1,0,2103563.355748399
192,random,,1,192,2244,1,0,2103532.598909779
193,random,,1,193,2262,1,0,2089037.424021699
194,random,,1,194,2270,1,0,2083650.91245787
195,random,,1,195,2275,1,0,2083559.2850268874
196,random,,1,196,2296,1,0,2082620.6515761674
197,random,,1,197,2305,1,0,2082055.7015254209
198,random,,1,198,2314,1,0,2075925.375603425
199,random,,1,199,2330,1,0,2065396.3095617513
200,random,,1,200,2334,1,0,2049629.696589777
201,random,,1,201,2351,1,0,2038113.431307504
202,random,,1,202,2359,1,0,2032982.6398975246
203,random,,1,203,2364,1,0,1987376.94145145
204,random,,1,204,2368,1,0,1985947.0490388912
205,random,,1,205,2383,1,0,1982474.6099248203
206,random,,1,206,2398,1,0,1978267.7615808274
207,random,,1,207,2413,1,0,1977935.4150522556
208,random,,1,208,2432,1,0,1975752.1401741751
209,random,,1,209,2444,1,0,1972262.2186477007
210,random,,1,210,2454,1,0,1967735.6299491595
211,random,,1,211,2467,1,0,1949150.4113605763
212,random,,1,212,2471,1,0,1939542.1749434124
213,random,,1,213,2487,1,0,1938100.1636315868
214,random,,1,214,2498,1,0,1932966.1513630282
215,random,,1,215,2506,1,0,1931307.1398051637
216,random,,1,216,2516,1,0,1927165.0420849184
217,random,,1,217,2535,1,0,1915970.708535475
