,estimated,correct,approx_estimated,approx_estimated2,same_cluster,len
755,3.37408293026177e-05,4.0160457684291625e-05,4.961474560343292e-05,3.618176274355282e-05,0.0,6
756,1.0536157299655367e-13,1.530308625993376e-13,1.825887245802753e-13,1.0907053959421631e-13,0.0,14
757,2.489373637607708e-08,3.3118563035870585e-08,4.420064730338413e-08,2.613814014760661e-08,0.0,9
758,2.762008565499565e-10,3.74865747032145e-10,5.491513696593933e-10,2.846285219893194e-10,0.0,11
759,2.1025032707817263e-06,2.668209807152327e-06,3.198390562168389e-06,2.331577826845681e-06,0.0,7
760,0.00035729307642148227,0.00039734379086613385,0.0004893594928741784,0.00039142810653794387,0.0,5
761,1.681612521201589e-08,2.190543133087785e-08,2.9145679418195587e-08,1.8108578590410457e-08,0.0,9
762,0.0031700988900176677,0.003552119965035857,0.004020530951567115,0.0036098267209853374,0.0,4
763,1.6048667108463633e-11,2.1998290848749728e-11,3.0617689787567635e-11,1.6730329638997972e-11,0.0,12
764,1.726270231115035e-07,2.0743418270810774e-07,2.8062021956357796e-07,1.8872467022718724e-07,0.0,8
765,0.003614738214363194,0.00405278951497289,0.00464847551318504,0.003963078942800385,0.0,4
766,1.152084516396099e-14,1.6307099859985097e-14,1.914534883248762e-14,1.187948506152418e-14,0.0,15
767,2.9547537051284097e-05,3.460233964993413e-05,4.2793326234320796e-05,3.2161330275785906e-05,0.0,6
768,1.0130744637248938e-13,1.364401222571311e-13,1.7598866764683854e-13,1.0512795347485271e-13,0.0,14
769,0.0010910112213203926,0.0012808267523610171,0.0016951903977211517,0.0009616730137314008,0.0,5
770,3.5443556128406938e-09,4.502551492607701e-09,6.973999278570278e-09,3.6203753213800753e-09,0.0,10
771,0.0008770007612628778,0.000990519111187134,0.001326190120606779,0.0008139932109593814,0.0,5
772,2.960903128097167e-10,3.914841984056671e-10,5.872137548606975e-10,3.04356489616815e-10,0.0,11
773,8.805808324846703e-14,1.2624615733680993e-13,1.531994091756118e-13,9.151464452534004e-14,0.0,14
774,0.0038200642687765064,0.004373175147836821,0.005002258108586631,0.004128540824587337,0.0,4
775,0.000968966089421527,0.001093140303839302,0.0014815216631683874,0.0008771478566372645,0.0,5
776,2.190256540602065e-05,2.4374335875053587e-05,3.089670030360916e-05,2.4964266381222744e-05,0.0,6
