,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
59,62,1.0082513519475981e+93,5.818616089699361e+92,0.0,0.0,0,0.0,0,5.818616089699361e+92,33,fullbip,0.0,0.5050505050505051
60,63,0.0,1.0989786361497274e+94,0.0,0.0,0,0.0,0,1.0989786361497274e+94,33,fullbip,0.0,0.5050505050505051
61,64,3.526044024889241e+95,2.0215587128038307e+95,0.0,0.0,0,0.0,0,2.0215587128038307e+95,33,fullbip,0.0,0.5050505050505051
62,65,0.0,3.6190141991453194e+96,0.0,0.0,0,0.0,0,3.6190141991453194e+96,33,fullbip,0.0,0.5050505050505051
63,66,1.1078189227288378e+98,6.300319331998472e+97,0.0,0.0,0,0.0,0,6.300319331998472e+97,33,fullbip,0.0,0.5050505050505051
64,67,0.0,1.0657256581489955e+99,0.0,0.0,0,0.0,0,1.0657256581489955e+99,33,fullbip,0.0,0.5050505050505051
65,68,3.10743207825439e+100,1.7500887033329087e+100,0.0,0.0,0,0.0,0,1.7500887033329087e+100,33,fullbip,0.0,0.5050505050505051
66,69,0.0,2.7874345033321693e+101,0.0,0.0,0,0.0,0,2.7874345033321693e+101,33,fullbip,0.0,0.5050505050505051
67,70,7.727739659750346e+102,4.301819915315666e+102,0.0,0.0,0,0.0,0,4.301819915315666e+102,33,fullbip,0.0,0.5050505050505051
68,71,0.0,6.426107427914993e+103,0.0,0.0,0,0.0,0,6.426107427914993e+103,33,fullbip,0.0,0.5050505050505051
69,72,1.690443050570388e+105,9.28125364343222e+104,0.0,0.0,0,0.0,0,9.28125364343222e+104,33,fullbip,0.0,0.5050505050505051
70,73,0.0,1.2945210561200604e+106,0.0,0.0,0,0.0,0,1.2945210561200604e+106,33,fullbip,0.0,0.5050505050505051
71,74,3.223720585087746e+107,1.7414011750018015e+107,0.0,0.0,0,0.0,0,1.7414011750018015e+107,33,fullbip,0.0,0.5050505050505051
72,75,0.0,2.2561992327969467e+108,0.0,0.0,0,0.0,0,2.2561992327969467e+108,33,fullbip,0.0,0.5050505050505051
73,76,5.304717057514124e+109,2.8112530312960368e+109,0.0,0.0,0,0.0,0,2.8112530312960368e+109,33,fullbip,0.0,0.5050505050505051
74,77,0.0,3.363325153537958e+110,0.0,0.0,0,0.0,0,3.363325153537958e+110,33,fullbip,0.0,0.5050505050505051
75,78,7.442926086850587e+111,3.856804485182417e+111,0.0,0.0,0,0.0,0,3.856804485182417e+111,33,fullbip,0.0,0.5050505050505051
76,79,0.0,4.23109352804822e+112,0.0,0.0,0,0.0,0,4.23109352804822e+112,33,fullbip,0.0,0.5050505050505051
77,80,8.780792050961981e+113,4.431429395853534e+113,0.0,0.0,0,0.0,0,4.431429395853534e+113,33,fullbip,0.0,0.5050505050505051
78,81,0.0,4.420929687844903e+114,0.0,0.0,0,0.0,0,4.420929687844903e+114,33,fullbip,0.0,0.5050505050505051
79,82,8.56662639118242e+115,4.190570823844116e+115,0.0,0.0,0,0.0,0,4.190570823844116e+115,33,fullbip,0.0,0.5050505050505051
80,83,0.0,3.7637109261250545e+116,0.0,0.0,0,0.0,0,3.7637109261250545e+116,33,fullbip,0.0,0.5050505050505051
81,84,6.773753867884957e+117,3.1929991082025326e+117,0.0,0.0,0,0.0,0,3.1929991082025326e+117,33,fullbip,0.0,0.5050505050505051
82,85,0.0,2.549845990151043e+118,0.0,0.0,0,0.0,0,2.549845990151043e+118,33,fullbip,0.0,0.5050505050505051
83,86,4.234383813226689e+119,1.9092398622519258e+119,0.0,0.0,0,0.0,0,1.9092398622519258e+119,33,fullbip,0.0,0.5050505050505051
84,87,0.0,1.3344507106416574e+120,0.0,0.0,0,0.0,0,1.3344507106416574e+120,33,fullbip,0.0,0.5050505050505051
85,88,2.0276924305610532e+121,8.661982057711861e+120,0.0,0.0,0,0.0,0,8.661982057711861e+120,33,fullbip,0.0,0.5050505050505051
86,89,0.0,5.190700858553924e+121,0.0,0.0,0,0.0,0,5.190700858553924e+121,33,fullbip,0.0,0.5050505050505051
87,90,7.137477355574907e+122,2.851681335872218e+122,0.0,0.0,0,0.0,0,2.851681335872218e+122,33,fullbip,0.0,0.5050505050505051
88,91,0.0,1.4244162516844246e+123,0.0,0.0,0,0.0,0,1.4244162516844246e+123,33,fullbip,0.0,0.5050505050505051
89,92,1.7455787010916893e+124,6.404243028818312e+123,0.0,0.0,0,0.0,0,6.404243028818312e+123,33,fullbip,0.0,0.5050505050505051
90,93,0.0,2.5597495759803836e+124,0.0,0.0,0,0.0,0,2.5597495759803836e+124,33,fullbip,0.0,0.5050505050505051
91,94,2.733501965964858e+125,8.953347162923006e+124,0.0,0.0,0,0.0,0,8.953347162923006e+124,33,fullbip,0.0,0.5050505050505051
92,95,0.0,2.684576182822209e+125,0.0,0.0,0,0.0,0,2.684576182822209e+125,33,fullbip,0.0,0.5050505050505051
93,96,2.408898607506531e+126,6.70861577672848e+125,0.0,0.0,0,0.0,0,6.70861577672848e+125,33,fullbip,0.0,0.5050505050505051
94,97,0.0,1.3413039978463691e+126,0.0,0.0,0,0.0,0,1.3413039978463691e+126,33,fullbip,0.0,0.5050505050505051
95,98,9.438949645739877e+126,2.0115412459971833e+126,0.0,0.0,0,0.0,0,2.0115412459971833e+126,33,fullbip,0.0,0.5050505050505051
96,99,0.0,2.0113360076290578e+126,0.0,0.0,0,0.0,0,2.0113360076290578e+126,33,fullbip,0.0,0.5050505050505051
97,100,9.250170652825079e+126,1.0056680038145289e+126,0.0,0.0,0,0.0,0,1.0056680038145289e+126,33,fullbip,0.0,0.5050505050505051
