,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
70,70,73,5.870404238348966e+127,5.870404238348966e+127,5.870404238348966e+127,0.0,0,0.0,0,5.870404238348966e+127,20,full,1,1.0
71,71,74,1.563590101862948e+129,1.563590101862948e+129,1.563590101862948e+129,0.0,0,0.0,0,1.563590101862948e+129,20,full,1,1.0
72,72,75,4.011129807979083e+130,4.011129807979083e+130,4.011129807979083e+130,0.0,0,0.0,0,4.011129807979083e+130,20,full,1,1.0
73,73,76,9.895879460474711e+131,9.895879460474711e+131,9.895879460474711e+131,0.0,0,0.0,0,9.895879460474711e+131,20,full,1,1.0
74,74,77,2.3441667708968663e+133,2.3441667708968663e+133,2.3441667708968663e+133,0.0,0,0.0,0,2.3441667708968663e+133,20,full,1,1.0
75,75,78,5.322460706741474e+134,5.322460706741474e+134,5.322460706741474e+134,0.0,0,0.0,0,5.322460706741474e+134,20,full,1,1.0
76,76,79,1.1561193130086546e+136,1.1561193130086546e+136,1.1561193130086546e+136,0.0,0,0.0,0,1.1561193130086546e+136,20,full,1,1.0
77,77,80,2.3975024253516974e+137,2.3975024253516974e+137,2.3975024253516974e+137,0.0,0,0.0,0,2.3975024253516974e+137,20,full,1,1.0
78,78,81,4.7358072599539695e+138,4.7358072599539695e+138,4.7358072599539695e+138,0.0,0,0.0,0,4.7358072599539695e+138,20,full,1,1.0
79,79,82,8.888301674474585e+139,8.888301674474585e+139,8.888301674474585e+139,0.0,0,0.0,0,8.888301674474585e+139,20,full,1,1.0
80,80,83,1.5806184664487336e+141,1.5806184664487336e+141,1.5806184664487336e+141,0.0,0,0.0,0,1.5806184664487336e+141,20,full,1,1.0
81,81,84,2.655062685903765e+142,2.655062685903765e+142,2.655062685903765e+142,0.0,0,0.0,0,2.655062685903765e+142,20,full,1,1.0
82,82,85,4.198122646887836e+143,4.198122646887836e+143,4.198122646887836e+143,0.0,0,0.0,0,4.198122646887836e+143,20,full,1,1.0
83,83,86,6.223960900909292e+144,6.223960900909292e+144,6.223960900909292e+144,0.0,0,0.0,0,6.223960900909292e+144,20,full,1,1.0
84,84,87,8.613389568614698e+145,8.613389568614698e+145,8.613389568614698e+145,0.0,0,0.0,0,8.613389568614698e+145,20,full,1,1.0
85,85,88,1.1070163184208207e+147,1.1070163184208207e+147,1.1070163184208207e+147,0.0,0,0.0,0,1.1070163184208207e+147,20,full,1,1.0
86,86,89,1.3134935193847044e+148,1.3134935193847044e+148,1.3134935193847044e+148,0.0,0,0.0,0,1.3134935193847044e+148,20,full,1,1.0
87,87,90,1.4287890616418065e+149,1.4287890616418065e+149,1.4287890616418065e+149,0.0,0,0.0,0,1.4287890616418065e+149,20,full,1,1.0
88,88,91,1.4130880829424456e+150,1.4130880829424456e+150,1.4130880829424456e+150,0.0,0,0.0,0,1.4130880829424456e+150,20,full,1,1.0
89,89,92,1.2579555868802857e+151,1.2579555868802857e+151,1.2579555868802857e+151,0.0,0,0.0,0,1.2579555868802857e+151,20,full,1,1.0
90,90,93,9.955433461762263e+151,9.955433461762263e+151,9.955433461762263e+151,0.0,0,0.0,0,9.955433461762263e+151,20,full,1,1.0
91,91,94,6.894667216603439e+152,6.894667216603439e+152,6.894667216603439e+152,0.0,0,0.0,0,6.894667216603439e+152,20,full,1,1.0
92,92,95,4.093255063330884e+153,4.093255063330884e+153,4.093255063330884e+153,0.0,0,0.0,0,4.093255063330884e+153,20,full,1,1.0
93,93,96,2.02530849487726e+154,2.02530849487726e+154,2.02530849487726e+154,0.0,0,0.0,0,2.02530849487726e+154,20,full,1,1.0
94,94,97,8.017716103431628e+154,8.017716103431628e+154,8.017716103431628e+154,0.0,0,0.0,0,8.017716103431628e+154,20,full,1,1.0
95,95,98,2.3807708021414323e+155,2.3807708021414323e+155,2.3807708021414323e+155,0.0,0,0.0,0,2.3807708021414323e+155,20,full,1,1.0
96,96,99,4.713445224441624e+155,4.713445224441624e+155,4.713445224441624e+155,0.0,0,0.0,0,4.713445224441624e+155,20,full,1,1.0
97,97,100,4.666310772197209e+155,4.666310772197209e+155,4.666310772197209e+155,0.0,0,0.0,0,4.666310772197209e+155,20,full,1,1.0
0,0,3,161700.0,161700.0,161700.0,161613.333333242,145452,161897.77777768942,145708,161613.333333242,21,full,1,1.0
1,1,4,11763675.0,11763675.0,11763675.0,11760062.49994329,188161,11811249.999942811,188980,11760062.49994329,21,full,1,1.0
2,2,5,903450240.0,903450240.0,903450240.0,901612000.0041203,225403,908740000.0040196,227185,901612000.0041203,21,full,1,1.0
3,3,6,71523144000.0,71523144000.0,71523144000.0,71200000000.32776,256320,71975000000.33717,259110,71200000000.32776,21,full,1,1.0
4,4,7,5762721888000.0,5762721888000.0,5762721888000.0,5737632653104.551,281144,5803326530656.752,284363,5737632653104.551,21,full,1,1.0
5,5,8,468941493636000.0,468941493636000.0,468941493636000.0,468653124998503.7,299938,472168749998485.2,302188,468653124998503.7,21,full,1,1.0
6,6,9,3.8348993257344e+16,3.8348993257344e+16,3.8348993257344e+16,3.834975308624249e+16,310633,3.864518518500172e+16,313026,3.834975308624249e+16,21,full,1,1.0
7,7,10,3.1407825477764736e+18,3.1407825477764736e+18,3.1407825477764736e+18,3.135599999983681e+18,313560,3.163649999983408e+18,316365,3.135599999983681e+18,21,full,1,1.0
8,8,11,2.5697311754534784e+20,2.5697311754534784e+20,2.5697311754534784e+20,2.562801652901796e+20,310099,2.5854049586870285e+20,312834,2.562801652901796e+20,21,full,1,1.0
9,9,12,2.096472350640796e+22,2.096472350640796e+22,2.096472350640796e+22,2.0954583333372737e+22,301746,2.107701388892865e+22,303509,2.0954583333372737e+22,21,full,1,1.0
10,10,13,1.7029806171359082e+24,1.7029806171359082e+24,1.7029806171359082e+24,1.7019644970403506e+24,287632,1.7108934911231772e+24,289141,1.7019644970403506e+24,21,full,1,1.0
11,11,14,1.3757650557005089e+26,1.3757650557005089e+26,1.3757650557005089e+26,1.374005102033805e+26,269305,1.3816989795846845e+26,270813,1.374005102033805e+26,21,full,1,1.0
12,12,15,1.1042807513756083e+28,1.1042807513756083e+28,1.1042807513756083e+28,1.1020755555519472e+28,247967,1.1092488888852532e+28,249581,1.1020755555519472e+28,21,full,1,1.0
13,13,16,8.799737237524379e+29,8.799737237524379e+29,8.799737237524379e+29,8.803828124979666e+29,225378,8.840156249979562e+29,226308,8.803828124979666e+29,21,full,1,1.0
14,14,17,6.956968733666333e+31,6.956968733666333e+31,6.956968733666333e+31,6.976505190331845e+31,201621,6.97477508652553e+31,201571,6.976505190331845e+31,21,full,1,1.0
15,15,18,5.453490490668443e+33,5.453490490668443e+33,5.453490490668443e+33,5.480462962956436e+33,177567,5.44308641974658e+33,176356,5.480462962956436e+33,21,full,1,1.0
16,16,19,4.236501033803484e+35,4.236501033803484e+35,4.236501033803484e+35,4.27085872576697e+35,154178,4.218781163440766e+35,152298,4.27085872576697e+35,21,full,1,1.0
17,17,20,3.259987545511781e+37,3.259987545511781e+37,3.259987545511781e+37,3.292100000010902e+37,131684,3.2336000000102358e+37,129344,3.292100000010902e+37,21,full,1,1.0
18,18,21,2.483800034675643e+39,2.483800034675643e+39,2.483800034675643e+39,2.5127437641700153e+39,110812,2.4501360544195277e+39,108051,2.5127437641700153e+39,21,full,1,1.0
19,19,22,1.873011026148587e+41,1.873011026148587e+41,1.873011026148587e+41,1.899958677687989e+41,91958,1.8381818181836953e+41,88968,1.899958677687989e+41,21,full,1,1.0
20,20,23,1.397429096030859e+43,1.397429096030859e+43,1.397429096030859e+43,1.4261436672973118e+43,75443,1.3606994328926074e+43,71981,1.4261436672973118e+43,21,full,1,1.0
21,21,24,1.0311862204461046e+45,1.0311862204461046e+45,1.0311862204461046e+45,1.0467708333335253e+45,60294,9.951736111111236e+44,57322,1.0467708333335253e+45,21,full,1,1.0
22,22,25,7.523534664374778e+46,7.523534664374778e+46,7.523534664374778e+46,7.619680000002517e+46,47623,7.198240000002425e+46,44989,7.619680000002517e+46,21,full,1,1.0
23,23,26,5.425625959885658e+48,5.425625959885658e+48,5.425625959885658e+48,5.476479289938559e+48,37021,5.1248520710038375e+48,34644,5.476479289938559e+48,21,full,1,1.0
24,24,27,3.866260869192595e+50,3.866260869192595e+50,3.866260869192595e+50,3.8510288065857106e+50,28074,3.5987654320999943e+50,26235,3.8510288065857106e+50,21,full,1,1.0
25,25,28,2.7215714904209297e+52,2.7215714904209297e+52,2.7215714904209297e+52,2.669260204081376e+52,20927,2.5093112244897666e+52,19673,2.669260204081376e+52,21,full,1,1.0
26,26,29,1.8919614223064117e+54,1.8919614223064117e+54,1.8919614223064117e+54,1.8350772889422678e+54,15433,1.7360285374558666e+54,14600,1.8350772889422678e+54,21,full,1,1.0
27,27,30,1.298516189509634e+56,1.298516189509634e+56,1.298516189509634e+56,1.2457777777776909e+56,11212,1.1981111111110326e+56,10783,1.2457777777776909e+56,21,full,1,1.0
28,28,31,8.79639999345236e+57,8.79639999345236e+57,8.79639999345236e+57,8.382934443287182e+57,8056,8.066597294483911e+57,7752,8.382934443287182e+57,21,full,1,1.0
29,29,32,5.879843620623312e+59,5.879843620623312e+59,5.879843620623312e+59,5.531249999999927e+59,5664,5.337890624999993e+59,5466,5.531249999999927e+59,21,full,1,1.0
30,30,33,3.8771332480231296e+61,3.8771332480231296e+61,3.8771332480231296e+61,3.4876033057848157e+61,3798,3.5445362718086996e+61,3860,3.4876033057848157e+61,21,full,1,1.0
31,31,34,2.5212769445232764e+63,2.5212769445232764e+63,2.5212769445232764e+63,2.147923875432543e+63,2483,2.294117647058831e+63,2652,2.147923875432543e+63,21,full,1,1.0
32,32,35,1.6164987038600663e+65,1.6164987038600663e+65,1.6164987038600663e+65,1.3804081632652622e+65,1691,1.4955102040815914e+65,1832,1.3804081632652622e+65,21,full,1,1.0
33,33,36,1.021537375356014e+67,1.021537375356014e+67,1.021537375356014e+67,8.395061728394928e+66,1088,9.560185185184944e+66,1239,8.395061728394928e+66,21,full,1,1.0
34,34,37,6.361140845460152e+68,6.361140845460152e+68,6.361140845460152e+68,4.952520087655137e+68,678,6.362308254199809e+68,871,4.952520087655137e+68,21,full,1,1.0
35,35,38,3.902057713359899e+70,3.902057713359899e+70,3.902057713359899e+70,2.6731301939057695e+70,386,4.078947368420875e+70,589,2.6731301939057695e+70,21,full,1,1.0
36,36,39,2.357243069916903e+72,2.357243069916903e+72,2.357243069916903e+72,1.5647600262984824e+72,238,2.504930966469324e+72,381,1.5647600262984824e+72,21,full,1,1.0
37,37,40,1.401970315833078e+74,1.401970315833078e+74,1.401970315833078e+74,8.812499999999793e+73,141,1.3062499999999135e+74,209,8.812499999999793e+73,21,full,1,1.0
38,38,41,8.206655507315578e+75,8.206655507315578e+75,8.206655507315578e+75,4.818560380725681e+75,81,6.365258774538661e+75,107,4.818560380725681e+75,21,full,1,1.0
39,39,42,4.726642779094378e+77,4.726642779094378e+77,4.726642779094378e+77,2.7210884353740573e+77,48,3.628117913831992e+77,64,2.7210884353740573e+77,21,full,1,1.0
40,40,43,2.6776980953195124e+79,2.6776980953195124e+79,2.6776980953195124e+79,1.4602487831259188e+79,27,1.9469983775012564e+79,36,1.4602487831259188e+79,21,full,1,1.0
41,41,44,1.4915995526427555e+81,1.4915995526427555e+81,1.4915995526427555e+81,9.814049586776284e+80,19,6.714876033057353e+80,13,9.814049586776284e+80,21,full,1,1.0
42,42,45,8.167336217137222e+82,8.167336217137222e+82,8.167336217137222e+82,4.444444444444145e+82,9,1.481481481481406e+82,3,4.444444444444145e+82,21,full,1,1.0
43,43,46,4.394381986394483e+84,4.394381986394483e+84,4.394381986394483e+84,2.362948960302244e+84,5,0.0,0,2.362948960302244e+84,21,full,1,1.0
44,44,47,2.3224776285540205e+86,2.3224776285540205e+86,2.3224776285540205e+86,1.358080579447597e+86,3,0.0,0,1.358080579447597e+86,21,full,1,1.0
45,45,48,1.205269119318347e+88,1.205269119318347e+88,1.205269119318347e+88,0.0,0,0.0,0,1.205269119318347e+88,21,full,1,1.0
46,46,49,6.139493309833865e+89,6.139493309833865e+89,6.139493309833865e+89,0.0,0,0.0,0,6.139493309833865e+89,21,full,1,1.0
47,47,50,3.068518756254966e+91,3.068518756254966e+91,3.068518756254966e+91,0.0,0,0.0,0,3.068518756254966e+91,21,full,1,1.0
48,48,51,1.504175860909297e+93,1.504175860909297e+93,1.504175860909297e+93,0.0,0,0.0,0,1.504175860909297e+93,21,full,1,1.0
49,49,52,7.228722070023719e+94,7.228722070023719e+94,7.228722070023719e+94,0.0,0,0.0,0,7.228722070023719e+94,21,full,1,1.0
